nro,wave,varcode,russian,english
809,i20,Pk7.3.3c,Сколько часов и минут в неделю (он/она) занимается во время школьных занятий легкой атлетикой; лыжами; коньками? (МИНУТ),How many hours and minutes a week (he / she) is engaged during school athletics; skiing; skates? (MIN)
810,i20,Pk7.3.4a,(Он/она) занимается во время школьных занятий другими видами физической активности?,(He / she) is engaged in classroom activities other types of physical activity?
811,i20,Pk7.3.4b,Сколько часов и минут в неделю (он/она) занимается во время школьных занятий другими видами физической активности? (ЧАСОВ),How many hours and minutes a week (he / she) is engaged in classroom activities other types of physical activity? (Hours)
812,i20,Pk7.3.4c,Сколько часов и минут в неделю (он/она) занимается во время школьных занятий другими видами физической активности? (МИНУТ),How many hours and minutes a week (he / she) is engaged in classroom activities other types of physical activity? (MIN)
813,i20,Pk7.4,(Он/она) занимается физкультурой и спортом до или после уроков (занятия с тренером или просто подвижные игры во дворе - футбол; салочки; классики; прятки; езда на велосипеде; роликах и т.п.)?,"(He / she) is engaged in physical culture and sports before or after school (trainer or simply outdoor games in the yard - soccer; salochki; classics; hide and seek, biking, rollerblading, etc.)?"
814,i20,Pk7.5,Как часто (он/она) занимается физкультурой и спортом; включая подвижные игры во дворе; до или после уроков?,How often (he / she) is engaged in physical culture and sports; including mobile games in the yard; before or after school?
815,i20,Pk7.6.1a,(Он/она) занимается до или после уроков каратэ; дзюдо; самбо; борьбой; боксом; гимнастикой?,(He / she) is engaged in before or after school karate; judo; Sambo; struggle; boxing; gymnastics?
816,i20,Pk7.6.1b,Сколько часов и минут в неделю (он/она) занимается до или после уроков каратэ; дзюдо; самбо; борьбой; боксом; гимнастикой? (ЧАСОВ),How many hours and minutes a week (he / she) is engaged in before or after school karate; judo; Sambo; struggle; boxing; gymnastics? (Hours)
817,i20,Pk7.6.1c,Сколько часов и минут в неделю (он/она) занимается до или после уроков каратэ; дзюдо; самбо; борьбой; боксом; гимнастикой? (МИНУТ),How many hours and minutes a week (he / she) is engaged in before or after school karate; judo; Sambo; struggle; boxing; gymnastics? (MIN)
818,i20,Pk7.6.2a,(Он/она) занимается до или после уроков подвижными спортивными играми: бадминтон; теннис; футбол; баскетбол; волейбол; хоккей или плавание?,(He / she) is engaged in before or after school mobile sports games: badminton; tennis; football; basketball; volleyball; hockey or swimming?
819,i20,Pk7.6.2b,Сколько часов и минут в неделю (он/она) занимается до или после уроков подвижными спортивными играми: бадминтон; теннис; футбол; баскетбол; волейбол; хоккей или плавание? (ЧАСОВ),How many hours and minutes a week (he / she) is engaged in before or after school mobile sports games: badminton; tennis; football; basketball; volleyball; hockey or swimming? (Hours)
820,i20,Pk7.6.2c,Сколько часов и минут в неделю (он/она) занимается до или после уроков подвижными спортивными играми: бадминтон; теннис; футбол; баскетбол; волейбол; хоккей или плавание? (МИНУТ),How many hours and minutes a week (he / she) is engaged in before or after school mobile sports games: badminton; tennis; football; basketball; volleyball; hockey or swimming? (MIN)
821,i20,Pk7.6.3a,(Он/она) занимается до или после уроков легкой атлетикой; лыжами; коньками; роликами?,(He / she) is engaged in before or after school athletics; skiing; skates; rollers?
822,i20,Pk7.6.3b,Сколько часов и минут в неделю (он/она) занимается до или после уроков легкой атлетикой; лыжами; коньками; роликами? (ЧАСОВ),How many hours and minutes a week (he / she) is engaged in before or after school athletics; skiing; skates; rollers? (Hours)
823,i20,Pk7.6.3c,Сколько часов и минут в неделю (он/она) занимается до или после уроков легкой атлетикой; лыжами; коньками; роликами? (МИНУТ),How many hours and minutes a week (he / she) is engaged in before or after school athletics; skiing; skates; rollers? (MIN)
824,i20,Pk7.6.4a,(Он/она) занимается до или после уроков другими видами физической активности; например; салочки; прятки; катание на велосипеде?,"(He / she) is engaged in before or after school, other types of physical activity; for example; salochki; hide and seek; cycling?"
825,i20,Pk7.6.4b,Сколько часов и минут в неделю (он/она) занимается до или после уроков другими видами физической активности; например; салочки; прятки; катание на велосипеде? (ЧАСОВ),"How many hours and minutes a week (he / she) is engaged in before or after school, other types of physical activity; for example; salochki; hide and seek; cycling? (Hours)"
826,i20,Pk7.6.4c,Сколько часов и минут в неделю (он/она) занимается до или после уроков другими видами физической активности; например; салочки; прятки; катание на велосипеде? (МИНУТ),"How many hours and minutes a week (he / she) is engaged in before or after school, other types of physical activity; for example; salochki; hide and seek; cycling? (MIN)"
827,i20,Pk761.1a,Занимается (он/она) до или после школьных уроков:рисованием или музыкой?,Engaged (he / she) before or after school hours: painting or music?
828,i20,Pk761.1b,Сколько часов и минут в неделю (он/она)занимается рисованием или музыкой? (ЧАСОВ),How many hours and minutes a week (he / she) is engaged in painting or music? (Hours)
829,i20,Pk761.1c,Сколько часов и минут в неделю(он/она)занимается рисованием или музыкой? (МИНУТ),How many hours and minutes a week (he / she) is engaged in painting or music? (MIN)
830,i20,Pk761.2a,Занимается (он/она) до или после школьных уроков:танцами; фотографией; театром или какими-то другими видами художественного творчества?,Engaged (he / she) before or after school hours: dancing; photograph; theater or some other kinds of art?
831,i20,Pk761.2b,Сколько часов и минут в неделю (он/она) занимается танцами; фотографией; театром или какими-то другими видами художественного творчества? (ЧАСОВ),How many hours and minutes a week (he / she) is engaged in dancing; photograph; theater or some other kinds of art? (Hours)
832,i20,Pk761.2c,Сколько часов и минут в неделю (он/она)занимается ? (МИНУТ)танцами; фотографией; театром или какими-то другими видами художественного творчества,How many hours and minutes a week (he / she) do? (MIN) dances; photograph; theater or some other types of art
833,i20,Pk761.3a,Занимается (он/она) до или после школьных уроков:в кружках технического и прикладного творчества?,Engaged (he / she) before or after school hours: in the circles of technical and applied arts?
834,i20,Pk761.3b,Сколько часов и минут в неделю (он/она)занимается в кружках технического и прикладного творчества? (ЧАСОВ),How many hours and minutes a week (he / she) is engaged in the circles of technical and applied arts? (Hours)
835,i20,Pk761.3c,Сколько часов и минут в неделю (он/она)занимается в кружках технического и прикладного творчества?(МИНУТ),How many hours and minutes a week (he / she) is engaged in the circles of technical and applied arts? (MINUTES)
836,i20,Pk761.4a,Занимается (он/она) до или после школьных уроков: углубленным изучением компьютерных технологий?,Engaged (he / she) before or after school hours: in-depth study of computer technology?
837,i20,Pk761.4b,Сколько часов и минут в неделю (он/она)занимается углубленным изучением компьютерных технологий? (ЧАСОВ),How many hours and minutes a week (he / she) is engaged in in-depth study of computer technology? (Hours)
838,i20,Pk761.4c,Сколько часов и минут в неделю (он/она)занимается углубленным изучением компьютерных технологий? (МИНУТ),How many hours and minutes a week (he / she) is engaged in in-depth study of computer technology? (MIN)
839,i20,Pk761.5a,Занимается (он/она) до или после школьных уроков:иностранным языком?,Engaged (he / she) before or after school hours: a foreign language?
840,i20,Pk761.5b,Сколько часов и минут в неделю (он/она)занимается иностранным языком? (ЧАСОВ),How many hours and minutes a week (he / she) is engaged in a foreign language? (Hours)
841,i20,Pk761.5c,Сколько часов и минут в неделю (он/она)занимается иностранным языком? (МИНУТ),How many hours and minutes a week (he / she) is engaged in a foreign language? (MIN)
842,i20,Pk761.6a,Занимается (он/она) до или после школьных уроков:какими-то еще предметами; выбранными родителями или ребенком; для получения дополнительных знаний?,Engaged (he / she) before or after school hours: some more items; selected parent or child; for more knowledge?
843,i20,Pk761.6b,Сколько часов и минут в неделю (он/она)занимается какими-то еще предметами; выбранными родителями или ребенком; для получения дополнительных знаний? (ЧАСОВ),How many hours and minutes a week (he / she) is engaged in some more items; selected parent or child; for more knowledge? (Hours)
844,i20,Pk761.6c,Сколько часов и минут в неделю (он/она)занимается какими-то еще предметами; выбранными родителями или ребенком; для получения дополнительных знаний? (МИНУТ),How many hours and minutes a week (he / she) is engaged in some more items; selected parent or child; for more knowledge? (MIN)
845,i20,Pk7.7.1a,До или после школьных уроков (он/она) смотрит телевизор; видео; играет в видео- или компьютерные игры?,Before or after school hours (he / she) is watching TV; video; playing video or computer games?
846,i20,Pk7.7.1b,Сколько часов и минут в день (он/она) смотрит телевизор; видео; играет в видео- или компьютерные игры? (ЧАСОВ),How many hours and minutes a day (he / she) is watching TV; video; playing video or computer games? (Hours)
847,i20,Pk7.7.1c,Сколько часов и минут в день (он/она) смотрит телевизор; видео; играет в видео- или компьютерные игры? (МИНУТ),How many hours and minutes a day (he / she) is watching TV; video; playing video or computer games? (MIN)
848,i20,Pk7.7.7a,До или после школьных уроков (он/она) сидит в Интернете или локальной сети?,Before or after school hours (he / she) sits on the Internet or a local network?
849,i20,Pk7.7.7b,Сколько часов и минут в день (он/она) сидит в Интернете или локальной сети?(ЧАСОВ),How many hours and minutes a day (he / she) sits on the Internet or a local network? (Hours)
850,i20,Pk7.7.7c,Сколько часов и минут в день (он/она)сидит в Интернете или локальной сети?(МИНУТ),How many hours and minutes a day (he / she) sits on the Internet or a local network? (MINUTES)
851,i20,Pk7.7.3a,До или после школьных уроков (он/она) играет в игры - в машинки; куклы; конструкторы; шахматы; шашки?,Before or after school hours (he / she) plays in the game - in the machine; dolls; designers; chess; Checkers?
852,i20,Pk7.7.3b,Сколько часов и минут в день (он/она) играет в игры - в машинки; куклы; конструкторы; шахматы; шашки? (ЧАСОВ),How many hours and minutes a day (he / she) plays in the game - in the machine; dolls; designers; chess; Checkers? (Hours)
853,i20,Pk7.7.3c,Сколько часов и минут в день (он/она) играет в игры - в машинки; куклы; конструкторы; шахматы; шашки? (МИНУТ),How many hours and minutes a day (he / she) plays in the game - in the machine; dolls; designers; chess; Checkers? (MIN)
854,i20,Pk7.7.6a,До или после школьных уроков (он/она) читает?,Before or after school hours (he / she) is reading?
855,i20,Pk7.7.6b,Сколько часов и минут в день (он/она) читает?(ЧАСОВ),How many hours and minutes a day (he / she) is reading? (Hours)
856,i20,Pk7.7.6c,Сколько часов и минут в день (он/она) читает?(МИНУТ),How many hours and minutes a day (he / she) is reading? (MINUTES)
857,i20,Pk7.7.4a,До или после школьных уроков (он/она) делает уроки?,Before or after school hours (he / she) does his homework?
858,i20,Pk7.7.4b,Сколько часов и минут в день (он/она) делает уроки? (ЧАСОВ),How many hours and minutes per day (he / she) does learned? (Hours)
859,i20,Pk7.7.4c,Сколько часов и минут в день (он/она) делает уроки? (МИНУТ),How many hours and minutes per day (he / she) does learned? (MIN)
860,i20,Pk771.1a,(Он/она) занимается под руководством или вместе с родителями; родственниками различными видами физической активности; спортом?,"(He / she) has been under the direction of, or with their parents; relatives various kinds of physical activity; sports?"
861,i20,Pk771.1b,Сколько часов и минут в неделю (он/она)занимается различными видами физической активности; спортом?(ЧАСОВ),How many hours and minutes a week (he / she) is engaged in various types of physical activity; Sports (hours)
862,i20,Pk771.1c,Сколько часов и минут в неделю (он/она)занимается различными видами физической активности; спортом?(МИНУТ),How many hours and minutes a week (he / she) is engaged in various types of physical activity; Sports (MINUTES)
863,i20,Pk771.2a,(Он/она) занимается под руководством или вместе с родителями; родственниками творчеством и ремеслами?,"(He / she) has been under the direction of, or with their parents; relatives creativity and crafts?"
864,i20,Pk771.2b,Сколько часов и минут в неделю (он/она)занимается творчеством и ремеслами?(ЧАСОВ),How many hours and minutes a week (he / she) is engaged in creativity and crafts? (Hours)
865,i20,Pk771.2c,Сколько часов и минут в неделю (он/она)занимается творчеством и ремеслами?(МИНУТ),How many hours and minutes a week (he / she) is engaged in creativity and crafts? (MINUTES)
866,i20,Pk771.3a,(Он/она) занимается под руководством или вместе с родителями; родственниками подготовкой уроков; домашних заданий?,"(He / she) has been under the direction of, or with their parents; relatives preparing lessons; Homework?"
867,i20,Pk771.3b,Сколько часов и минут в неделю (он/она)занимается подготовкой уроков; домашних заданий?(ЧАСОВ),How many hours and minutes a week (he / she) is preparing lessons; Homework? (hours)
868,i20,Pk771.3c,Сколько часов и минут в неделю (он/она)занимается подготовкой уроков; домашних заданий?(МИНУТ),How many hours and minutes a week (he / she) is preparing lessons; Homework? (MINUTES)
869,i20,Pk771.4a,(Он/она) занимается под руководством или вместе с родителями; родственниками какими-то предметами; выбранными родителями или ребенком; для получения дополнительных знаний?,"(He / she) has been under the direction of, or with their parents; relatives of some subjects; selected parent or child; for more knowledge?"
870,i20,Pk771.4b,Сколько часов и минут в неделю (он/она)занимается какими-то предметами; выбранными родителями или ребенком; для получения дополнительных знаний?(ЧАСОВ),How many hours and minutes a week (he / she) is engaged in some subjects; selected parent or child; for more knowledge? (hours)
871,i20,Pk771.4c,Сколько часов и минут в неделю (он/она)занимается какими-то предметами; выбранными родителями или ребенком; для получения дополнительных знаний?(МИНУТ),How many hours and minutes a week (he / she) is engaged in some subjects; selected parent or child; for more knowledge? (MINUTES)
872,i20,Pk7.8.1,Как (он/она) добирается до школы?,As (he / she) gets to school?
873,i20,Pk7.8.2a,Сколько часов и минут занимает у (него/нее) дорога туда и обратно? (ЧАСОВ),How many hours and minutes takes in (him / her) way there and back? (Hours)
874,i20,Pk7.8.2b,Сколько часов и минут занимает у (него/нее) дорога туда и обратно? (МИНУТ),How many hours and minutes takes in (him / her) way there and back? (MIN)
875,i20,Pk8.1,Почему (он/она) сейчас не учится в общеобразовательной школе? Потому что пойдет в школу через год или два?,Why (he / she) is not studying in secondary school? Because going to school in a year or two?
876,i20,Pk8.2,Почему (он/она) сейчас не учится в общеобразовательной школе? Потому что у (него/нее) плохое здоровье; посещать школу не может?,Why (he / she) is not studying in secondary school? Because (he / she) poor health; attend school can not?
877,i20,Pk8.3,Почему (он/она) сейчас не учится в общеобразовательной школе? Потому что (он/она) отчислен(а) из школы?,Why (he / she) is not studying in secondary school? Because (he / she) is deducted (a) from school?
878,i20,Pk8.4,Почему (он/она) сейчас не учится в общеобразовательной школе? Потому что семья хочет дать (ему/ей) домашнее образование?,Why (he / she) is not studying in secondary school? Because the family wants to give (him / her) home education?
879,i20,Pk8.5,Почему (он/она) сейчас не учится в общеобразовательной школе? Потому что близко от дома нет школы?,Why (he / she) is not studying in secondary school? Because close to home is no school?
880,i20,Pk8.6,Почему (он/она) сейчас не учится в общеобразовательной школе? По другим причинам?,Why (he / she) is not studying in secondary school? For other reasons?
881,i20,Pk8_1,(Он/она) сейчас посещает какое-нибудь детское дошкольное учреждение?,(He / she) is now visiting some nursery?
882,i20,Pk8_2,Кому принадлежит детское дошкольное учреждение; которое посещает Ваш ребенок?,Who owns the nursery; that your child attends?
883,i20,Pk8.a.1a,Скажите мне; пожалуйста; (он/она) занимается каратэ; дзюдо; гимнастикой; теннисом; плаванием?,Tell me; please; (he / she) is engaged in karate; judo; gymnastics; tennis; swimming?
884,i20,Pk8.a.1b,Скажите мне; пожалуйста; сколько часов и минут в неделю (он/она) занимается каратэ; дзюдо; гимнастикой; теннисом; плаванием? (ЧАСОВ),Tell me; please; how many hours and minutes a week (he / she) is engaged in karate; judo; gymnastics; tennis; swimming? (Hours)
885,i20,Pk8.a.1c,Скажите мне; пожалуйста; сколько часов и минут в неделю (он/она) занимается каратэ; дзюдо; гимнастикой; теннисом; плаванием? (МИНУТ),Tell me; please; how many hours and minutes a week (he / she) is engaged in karate; judo; gymnastics; tennis; swimming? (MIN)
886,i20,Pk8.a.2a,Скажите мне; пожалуйста; (он/она) играет в мячик; катается на коньках; на велосипеде?,Tell me; please; (he / she) plays a ball; skates; on a bicycle?
887,i20,Pk8.a.2b,Скажите мне; пожалуйста; сколько часов и минут в неделю (он/она) играет в мячик; катается на коньках; на велосипеде? (ЧАСОВ),Tell me; please; how many hours and minutes per week (he / she) plays ball; skates; on a bicycle? (Hours)
888,i20,Pk8.a.2c,Скажите мне; пожалуйста; сколько часов и минут в неделю (он/она) играет в мячик; катается на коньках; на велосипеде? (МИНУТ),Tell me; please; how many hours and minutes per week (he / she) plays ball; skates; on a bicycle? (MIN)
889,i20,Pk8.a.3a,Скажите мне; пожалуйста; (он/она) танцует; бегает; прыгаете; играет в классики; в прятки?,Tell me; please; (he / she) dances; runs; jump; Hopscotch; hide and seek?
890,i20,Pk8.a.3b,Скажите мне; пожалуйста; сколько часов и минут в неделю (он/она) танцует; бегает; прыгает; играет в классики; в прятки? (ЧАСОВ),Tell me; please; how many hours and minutes a week (he / she) dances; runs; jumps; Hopscotch; hide and seek? (Hours)
891,i20,Pk8.a.3c,Скажите мне; пожалуйста; сколько часов и минут в неделю (он/она) танцует; бегает; прыгает; играет в классики; в прятки? (МИНУТ),Tell me; please; how many hours and minutes a week (he / she) dances; runs; jumps; Hopscotch; hide and seek? (MIN)
892,i20,Pk8.a.4a,Скажите мне; пожалуйста; (он/она) играет сидя: на лавочке; в песочнице?,Tell me; please; (he / she) plays sitting: on the bench; in the sandbox?
893,i20,Pk8.a.4b,Скажите мне; пожалуйста; сколько часов и минут в неделю (он/она) играет сидя: на лавочке; в песочнице? (ЧАСОВ),Tell me; please; how many hours and minutes a week (he / she) plays sitting: on the bench; in the sandbox? (Hours)
894,i20,Pk8.a.4c,Скажите мне; пожалуйста; сколько часов и минут в неделю (он/она) играет сидя: на лавочке; в песочнице? (МИНУТ),Tell me; please; how many hours and minutes a week (he / she) plays sitting: on the bench; in the sandbox? (MIN)
895,i20,Pk8.13,(Он/она) занимается регулярно физкультурой и спортом в детском дошкольном учреждении; секции или дома?,(He / she) is engaged in regular physical exercise and sports the child care center; section or at home?
896,i20,Pk81311a,(Он/она) занимается рисованием или музыкой?,(He / she) is engaged in painting or music?
897,i20,Pk81311b,Сколько часов и минут в неделю(он/она)занимается рисованием или музыкой?(ЧАСОВ),How many hours and minutes a week (he / she) is engaged in painting or music? (Hours)
898,i20,Pk81311c,Сколько часов и минут в неделю(он/она)занимается рисованием или музыкой?(МИНУТ),How many hours and minutes a week (he / she) is engaged in painting or music? (MINUTES)
899,i20,Pk81312a,(Он/она) занимается театром; рукоделием; танцами или каким-то другим творчеством,(He / she) is engaged in the theater; crafts; dancing or some other creative
900,i20,Pk81312b,Сколько часов и минут в неделю(он/она)занимается театром; рукоделием; танцами или каким-то другим творчеством?(ЧАСОВ),How many hours and minutes a week (he / she) is engaged in the theater; crafts; dancing or some other creative? (hours)
901,i20,Pk81312c,Сколько часов и минут в неделю(он/она)занимается театром; рукоделием; танцами или каким-то другим творчеством?(МИНУТ),How many hours and minutes a week (he / she) is engaged in the theater; crafts; dancing or some other creative? (MINUTES)
902,i20,Pk81314a,(Он/она) занимается какими-то предметами; выбранными родителями или ребенком; для получения дополнительных знаний?,(He / she) is engaged in some subjects; selected parent or child; for more knowledge?
903,i20,Pk81314b,Сколько часов и минут в неделю(он/она)занимается какими-то предметами; выбранными родителями или ребенком; для получения дополнительных знаний?(ЧАСОВ),How many hours and minutes a week (he / she) is engaged in some subjects; selected parent or child; for more knowledge? (hours)
904,i20,Pk81314c,Сколько часов и минут в неделю(он/она)занимается какими-то предметами; выбранными родителями или ребенком; для получения дополнительных знаний?(МИНУТ),How many hours and minutes a week (he / she) is engaged in some subjects; selected parent or child; for more knowledge? (MINUTES)
905,i20,Pk81315a,(Он/она) занимается иностранным языком,(He / she) is engaged in foreign language
906,i20,Pk81315b,Сколько часов и минут в неделю(он/она)занимается иностранным языком?(ЧАСОВ),How many hours and minutes a week (he / she) is engaged in a foreign language? (Hours)
907,i20,Pk81315c,Сколько часов и минут в неделю(он/она)занимается иностранным языком?(МИНУТ),How many hours and minutes a week (he / she) is engaged in a foreign language? (MINUTES)
908,i20,Pk8.151a,(Он/она) смотрит телевизор; видео; играет в видео- или компьютерные игры?,(He / she) is watching TV; video; playing video or computer games?
909,i20,Pk8.151b,Сколько часов и минут в день (он/она) смотрит телевизор; видео; играет в видео- или компьютерные игры? (ЧАСОВ),How many hours and minutes a day (he / she) is watching TV; video; playing video or computer games? (Hours)
910,i20,Pk8.151c,Сколько часов и минут в день (он/она) смотрит телевизор; видео; играет в видео- или компьютерные игры? (МИНУТ),How many hours and minutes a day (he / she) is watching TV; video; playing video or computer games? (MIN)
911,i20,Pk8.153a,(Он/она) играет в игры - в машинки; куклы; конструкторы; шахматы; шашки?,(He / she) plays in the game - in the machine; dolls; designers; chess; Checkers?
912,i20,Pk8.153b,Сколько часов и минут в день (он/она) играет в игры - в машинки; куклы; конструкторы; шахматы; шашки? (ЧАСОВ),How many hours and minutes a day (he / she) plays in the game - in the machine; dolls; designers; chess; Checkers? (Hours)
913,i20,Pk8.153c,Сколько часов и минут в день (он/она) играет в игры - в машинки; куклы; конструкторы; шахматы; шашки? (МИНУТ),How many hours and minutes a day (he / she) plays in the game - in the machine; dolls; designers; chess; Checkers? (MIN)
914,i20,Pk8.152a,(Он/она) читает или слушает чтение; когда (ему/ей) читают?,(He / she) reads or listens to the reading; when (he / she) are reading?
915,i20,Pk8.152b,Сколько часов и минут в день (он/она) читает или слушает чтение; когда (ему/ей) читают? (ЧАСОВ),How many hours and minutes a day (he / she) reads or listens to the reading; when (he / she) are reading? (Hours)
916,i20,Pk8.152c,Сколько часов и минут в день (он/она) читает или слушает чтение; когда (ему/ей) читают? (МИНУТ),How many hours and minutes a day (he / she) reads or listens to the reading; when (he / she) are reading? (MIN)
917,i20,Pk81511a,(Он/она) занимается под руководством или вместе с родителями; родственниками различными видами физической активности; спортом?,"(He / she) has been under the direction of, or with their parents; relatives various kinds of physical activity; sports?"
918,i20,Pk81511b,Сколько часов и минут в неделю(он/она)занимается различными видами физической активности; спортом?(ЧАСОВ),How many hours and minutes a week (he / she) is engaged in various types of physical activity; Sports (hours)
919,i20,Pk81511c,Сколько часов и минут в неделю(он/она)занимается различными видами физической активности; спортом?(МИНУТ),How many hours and minutes a week (he / she) is engaged in various types of physical activity; Sports (MINUTES)
920,i20,Pk81512a,(Он/она) занимается под руководством или вместе с родителями; родственниками творчеством?,"(He / she) has been under the direction of, or with their parents; relatives of creativity?"
921,i20,Pk81512b,Сколько часов и минут в неделю(он/она)занимается творчеством?(ЧАСОВ),How many hours and minutes a week (he / she) is engaged in creativity? (Hours)
922,i20,Pk81512c,Сколько часов и минут в неделю(он/она)занимается творчеством?(МИНУТ),How many hours and minutes a week (he / she) is engaged in creativity? (MINUTES)
923,i20,Pk81513a,(Он/она) занимается под руководством или вместе с родителями; родственниками по предметам; выбранным родителями или ребенком; для получения дополнительных знаний?,"(He / she) has been under the direction of, or with their parents; relatives of the subjects; selected parent or child; for more knowledge?"
924,i20,Pk81513b,Сколько часов и минут в неделю(он/она)занимается по предметам; выбранным родителями или ребенком; для получения дополнительных знаний?(ЧАСОВ),How many hours and minutes a week (he / she) is engaged in the subjects; selected parent or child; for more knowledge? (hours)
925,i20,Pk81513c,Сколько часов и минут в неделю(он/она)занимается по предметам; выбранным родителями или ребенком; для получения дополнительных знаний?(МИНУТ),How many hours and minutes a week (he / she) is engaged in the subjects; selected parent or child; for more knowledge? (MINUTES)
926,i20,Pk816.1a,В течение последних 12 месяцев Ваш ребенок посещал(а) театры; музеи; выставки; зоопарк; цирк и др.культурно-зрелищные мероприятия?,"During the past 12 months, your child attended (a) theaters; museums; exhibitions; Zoo; dr.kulturno circus and entertainment events?"
927,i20,Pk816.1b,Сколько раз за посл.12 мес.Ваш ребенок посещал(а) культурно- зрелищные мероприятия с родителями; родственниками?,How many times posl.12 mes.Vash child attended (a) cultural and entertainment events with parents; relatives?
928,i20,Pk816.1c,Сколько раз за посл.12 мес.Ваш ребенок посещал(а)культурно- зрелищные мероприятия без родителей; родственников?,How many times posl.12 mes.Vash child attended (a) cultural and entertainment events without parents; relatives?
929,i20,Pk816.2a,В течение последних 12 месяцев Ваш ребенок был(а) на каких-либо экскурсиях; в поездках; походах и т.п.?,"During the past 12 months, your child has been (a) on any excursions; travel; campaigns, etc.?"
930,i20,Pk816.2b,Сколько раз за посл.12 мес.Ваш ребенок был(а) на каких-либо экскурсиях; в поездках; походах и т.п. с родителями; родственниками?,"How many times posl.12 mes.Vash child was (a) on any excursions; travel; campaigns, etc. with parents; relatives?"
931,i20,Pk816.2c,Сколько раз за посл.12 мес.Ваш ребенок был(а) на каких-либо экскурсиях; в поездках; походах и т.п.без родителей; родственников?,How many times posl.12 mes.Vash child was (a) on any excursions; travel; campaigns and t.p.bez parents; relatives?
932,i20,Pk8.17,Кто-нибудь из родителей проводил с Вашим ребенком отпуск в последние 12 месяцев?,Someone from parents spend with your child leave in the past 12 months?
933,i20,Pk8.18,Ваш ребенок встречается со сверстниками (вне детского сада/ вне школы)?,Your child meets with peers (outside of kindergarten / outside school)?
934,i20,Pk8.19.1,(Он/она) гуляет во дворе с друзьями,(He / she) walks in the yard with friends
935,i20,Pk8.19.2,(Он/она) общается с друзьями у Вас дома или в гостях,(He / she) is chatting with friends at your home or at a party
936,i20,Pk8.19.3,(Он/она) общается в кружках; секциях; на курсах,(He / she) talks in circles; sections; courses
937,i20,Pk8.19.4,(Он/она) общается на экскурсиях; в кино; театрах; на детских праздниках вне дома,(He / she) speaks on excursions; in the movie; theaters; at children's parties outside the home
938,i20,Pk8.20,Как часто (он/она) встречается со сверстниками (вне детского сада/ вне школы)?,How often (he / she) meets with peers (outside the kindergarten / out of school)?
939,i20,Pk9,В течение последних 7 дней за ребенком ухаживал кто-то; кто не является членом Вашего домохозяйства: знакомые; работники детских учреждений; воспитатели школ; родственники; которые живут отдельно?,In the last 7 days of the child courted someone; who is not a member of your household: the familiar; child care workers; school teachers; relatives; who live separately?
940,i20,Pk10,В течение последних 7 дней за ребенком ухаживали родственники; которые живут отдельно?,In the last 7 days of the child caring relatives; who live separately?
941,i20,Pk11,Сколько дней из последних 7 дней за ребенком ухаживали родственники; которые живут отдельно?,How many days in the last 7 days of the child caring relatives; who live separately?
942,i20,Pk12a,В те дни из последних 7; когда Ваши родственники; живущие отдельно; помогали ухаживать за ребенком; сколько в среднем часов и минут в день это составляло? (ЧАСЫ),In those days of the last 7; when your relatives; living separately; helped care for the child; the average number of hours and minutes in the day it was? (WATCH)
943,i20,Pk12b,В те дни из последних 7; когда Ваши родственники; живущие отдельно; помогали ухаживать за ребенком; сколько в среднем часов и минут в день это составляло? (МИНУТ),In those days of the last 7; when your relatives; living separately; helped care for the child; the average number of hours and minutes in the day it was? (MIN)
944,i20,Pk13,В течение последних 7 дней ребенок ходил в детский сад; ясли; группу продленного дня в школе или тому подобное?,"In the last 7 days the child went to kindergarten; nurseries; After-school care in the school, or the like?"
945,i20,Pk14,Сколько дней из последних 7 дней ребенок ходил в детский сад; ясли; группу продленного дня в школе или тому подобное?,"How many days in the past 7 days, the child went to kindergarten; nurseries; After-school care in the school, or the like?"
946,i20,Pk15a,В те дни из последних 7 дней; когда ребенок ходил в детский сад; ясли; группу продленного дня в школе или тому подобное; сколько в среднем часов и минут в день это составляло? (ЧАСОВ),In those days of the last 7 days; when the child went to kindergarten; nurseries; After-school care in the school or the like; the average number of hours and minutes in the day it was? (Hours)
947,i20,Pk15b,В те дни из последних 7 дней; когда ребенок ходил в детский сад; ясли; группу продленного дня в школе или тому подобное; сколько в среднем часов и минут в день это составляло? (МИНУТ),In those days of the last 7 days; when the child went to kindergarten; nurseries; After-school care in the school or the like; the average number of hours and minutes in the day it was? (MIN)
948,i20,Pk17,В течение последних 7 дней за ребенком ухаживали другие люди; которые не являются Вашими родственниками?,In the last 7 days of the child cared for by other people; are not your relatives?
949,i20,Pk18,Сколько дней из последних 7 дней за ребенком ухаживали другие люди; которые не являются Вашими родственниками?,How many days in the past 7 days for a child looked after by other people; are not your relatives?
950,i20,Pk19a,В те дни из последних 7; когда другие люди; которые не являются Вашими родственниками; помогали ухаживать за ребенком; сколько в среднем часов и минут в день это составляло? (ЧАСОВ),In those days of the last 7; when other people; are not your relatives; helped care for the child; the average number of hours and minutes in the day it was? (Hours)
951,i20,Pk19b,В те дни из последних 7; когда другие люди; которые не являются Вашими родственниками; помогали ухаживать за ребенком; сколько в среднем часов и минут в день это составляло? (МИНУТ),In those days of the last 7; when other people; are not your relatives; helped care for the child; the average number of hours and minutes in the day it was? (MIN)
