,varcode,type,russian,english,five_most_popular_values,number_of_valid,number_of_missing
632,rl79.3a,,Вы или Ваша семья платили неофициально; в руки подарками за это профилактическое обследование в течение последних трех месяцев? ,You or your family paid informally; into the hands of gifts for this preventive care in the last three months?,Нет | Да | НЕТ ОТВЕТА,5264,16489
633,rl79.3b,,Сколько заплатили в рублях? ,How many paid in rubles?,    1000 |      300 |      200 |      500 |      108 |      150,28,21725
634,rl81.1,,Какие еще меры принимает семья; чтобы укрепить здоровье Вашего ребенка и предупредить возможные заболевания? Закаливание ,What other measures is the family; to improve the health of your child and prevent possible disease? hardening,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,3799,17954
635,rl81.2,,Какие еще меры принимает семья; чтобы укрепить здоровье Вашего ребенка и предупредить возможные заболевания? Правильное питание ,What other measures is the family; to improve the health of your child and prevent possible disease? proper nutrition,Да | Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,3799,17954
636,rl81.3,,Какие еще меры принимает семья; чтобы укрепить здоровье Вашего ребенка и предупредить возможные заболевания? Витамины/пищевые добавки ,What other measures is the family; to improve the health of your child and prevent possible disease? Vitamins / supplements,Да | Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,3799,17954
637,rl81.4,,Какие еще меры принимает семья; чтобы укрепить здоровье Вашего ребенка и предупредить возможные заболевания? Соблюдение режима дня ,What other measures is the family; to improve the health of your child and prevent possible disease? Adherence of the day,Да | Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,3799,17954
638,rl81.5,,Какие еще меры принимает семья; чтобы укрепить здоровье Вашего ребенка и предупредить возможные заболевания? Спортивные занятия ,What other measures is the family; to improve the health of your child and prevent possible disease? Sports Activities,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,3799,17954
639,rl81.6,,Какие еще меры принимает семья; чтобы укрепить здоровье Вашего ребенка и предупредить возможные заболевания? Посещение бани; сауны ,What other measures is the family; to improve the health of your child and prevent possible disease? Seen baths; saunas,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,3799,17954
640,rl81.7,,Какие еще меры принимает семья; чтобы укрепить здоровье Вашего ребенка и предупредить возможные заболевания? Обязательные прогулки на свежем воздухе ,What other measures is the family; to improve the health of your child and prevent possible disease? Required walking outdoors,Да | Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,3799,17954
641,rl81.8,,Какие еще меры принимает семья; чтобы укрепить здоровье Вашего ребенка и предупредить возможные заболевания? Другое; что именно? ,What other measures is the family; to improve the health of your child and prevent possible disease? Other; what?,Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | Да | ОТКАЗ ОТ ОТВЕТА | НЕТ ОТВЕТА,3799,17954
642,rl81.8s,,Другое к rl81 - Какие еще меры принимает семья; чтобы укрепить здоровье Вашего ребенка и предупредить возможные заболевания? ,Other to rl81 - What other measures is the family; to improve the health of your child and prevent possible disease?,                                                                                                                         | Массаж                                                                                                                   | Бассейн                                                                                                                  | Грудное вскармливание                                                                                                    | Поездка на море                                                                                                          | Санаторий                                                                                                               ,21753,0
643,rl83,,Сколько раз Вы себе или кто-нибудь для Вас вызывал «Скорую помощь» в течение последних 12 месяцев? ,"How many times have you yourself or someone for you called ""emergency"" in the past 12 months?",1.0e+08 | 1.0e+00 | 2.0e+00 | 3.0e+00 | 4.0e+00 | 5.0e+00,21753,0
644,rl841.1a,,"Платили ли Вы за вызовы ""Скорой помощи"" официально с оформлением документов на оплату в течение последних 12 месяцев? ","Did you pay for the call ""ambulance"" officially with the paperwork for payment in the last 12 months?",Нет | НЕТ ОТВЕТА | Да,2217,19536
645,rl841.1b,,"Сколько Вы заплатили за вызовы ""Скорой помощи"" официально с оформлением документов на оплату в течение последних 12 месяцев? ","How much do you pay for calls ""first aid"" officially with the paperwork for payment in the last 12 months?",1.0e+08 | 3.6e+03 | 2.5e+03 | 2.7e+03 | 3.0e+02 | 4.5e+02,10,21743
646,rl841.2a,,"Платили ли Вы за вызовы ""Скорой помощи"" неофициально; в руки; деньгами - без оформления каких-либо документов; в течение последних 12 месяцев? ","Did you pay for the call ""ambulance"" informally; in the hands; money - without filing any documents; in the last 12 months?",Нет | Да | НЕТ ОТВЕТА,2217,19536
647,rl841.2b,,"Сколько Вы заплатили за вызовы ""Скорой помощи"" неофициально; в руки; деньгами - без оформления каких-либо документов; в течение последних 12 месяцев? ","How much do you pay for calls ""first aid"" informally; in the hands; money - without filing any documents; in the last 12 months?",2.0e+02 | 5.0e+02 | 1.0e+02 | 1.0e+03 | 1.0e+08 | 3.0e+02,46,21707
648,rl841.3a,,"Платили ли Вы за вызовы ""Скорой помощи"" неофициально; в руки; подарками в течение последних 12 месяцев? ","Did you pay for the call ""ambulance"" informally; in the hands; gifts in the last 12 months?",Нет | Да | НЕТ ОТВЕТА,2217,19536
649,rl841.3b,,"Сколько Вы заплатили за вызовы ""Скорой помощи"" неофициально; в руки; подарками в течение последних 12 месяцев? ","How much do you pay for calls ""first aid"" informally; in the hands; gifts in the last 12 months?",5.0e+02 | 1.0e+03 | 2.0e+02 | 3.0e+02 | 1.0e+02 | 1.0e+08,28,21725
650,rl88.1a,,Вы или Ваша семья платили официально в кассу согласно официальным правилам или официальному прейскуранту за амбулаторную нестоматологическую помощь; оказанную Вам медработниками в течение последних 30 дней? ,"You or your family officially paid in cash according to the official rules, or the official price list for outpatient nestomatologicheskuyu assistance; provide you with health care providers in the last 30 days?",Нет | Да | НЕТ ОТВЕТА,3350,18403
651,rl88.1b,,Сколько заплатили в рублях? ,How many paid in rubles?,    1000 |     2000 |     3000 |      500 |     1500 |     5000,361,21392
652,rl88.2a,,Вы или Ваша семья платили неофициально; в руки деньгами - без оформления каких- либо документов за амбулаторную нестоматологическую помощь; оказанную Вам медработниками в течение последних 30 дней? ,You or your family paid informally; in the hands of money - without registration of any documents for outpatient nestomatologicheskuyu assistance; provide you with health care providers in the last 30 days?,Нет | Да | НЕТ ОТВЕТА,3350,18403
653,rl88.2b,,Сколько заплатили в рублях? ,How many paid in rubles?,     500 |     1000 |     2000 |     3000 |      700 | 99999997,105,21648
654,rl88.3a,,Вы или Ваша семья платили неофициально; в руки подарками за амбулаторную нестоматологическую помощь; оказанную Вам медработниками в течение последних 30 дней? ,You or your family paid informally; into the hands of presents for outpatient nestomatologicheskuyu assistance; provide you with health care providers in the last 30 days?,Нет | Да | НЕТ ОТВЕТА,3350,18403
655,rl88.3b,,Сколько заплатили в рублях? ,How many paid in rubles?,    1000 | 99999997 | 99999998 |     2000 |      500 |     3000,48,21705
656,rl89,,В течение последних 12 месяцев Вы пропустили по болезни сколько-нибудь рабочих или учебных дней? ,"During the past 12 months, have you missed due to illness any working or school days?",Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА | НЕТ ОТВЕТА,17954,3799
657,rl90,,Сколько всего дней Вы пропустили по болезни за последние 12 месяцев? ,How many days did you miss due to illness in the past 12 months?,      10 |       14 |        7 |        5 |       20 |       30,2560,19193
658,rm1,,Сколько килограмм Вы весите? ,How many pounds you weigh?,7.000e+01 | 8.000e+01 | 6.000e+01 | 7.500e+01 | 6.500e+01 | 1.000e+08,21753,0
659,rm100,,В последние 7 дней (у него/у нее) резались зубы? ,In the last 7 days (he / she) were cut teeth?,Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,3799,17954
660,rm101,,В последние 7 дней (у него/у нее) был понос? ,In the past 7 days (he / she) had diarrhea?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,3799,17954
661,rm102,,Сколько дней из последних 7 дней (у него/у нее) был понос? ,How many days in the past 7 days (he / she) had diarrhea?, 1 |  2 |  3 |  4 |  7,89,21664
662,rm103,,Сколько раз за последние 24 часа (у него/у нее) был стул? ,How many times in the last 24 hours (he / she) was a chair?,1e+00 | 2e+00 | 3e+00 | 4e+00 | 0e+00 | 5e+00,89,21664
663,rm104,,Скажите; пожалуйста; в течение последних 7 дней Вы замечали (у него/у нее) в стуле слизь - белесую или какого-нибудь другого цвета? ,tell me; please; in the last 7 days you noticed (he / she) mucus in the stool - whitish or some other color?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,89,21664
664,rm105,,В течение последних 7 дней Вы замечали (к него/у нее) в стуле кровь? ,During the past 7 days did you notice (by him / her) blood in the stool?,Нет | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,89,21664
665,rm106,,Скажите; пожалуйста; с тех пор; как начался понос; Вы замечали (у него/у нее) какие-нибудь другие признаки болезни? Была (у него/у нее) повышенная температура? ,tell me; please; since; began as diarrhea; Have you noticed (he / she) any other signs of the disease? Was (he / she) fever?,Нет | Да | НЕТ ОТВЕТА,89,21664
666,rm107,,С тех пор; как начался понос; (у него/у неe) была рвота? ,Since; began as diarrhea; (he / u nee) was vomiting?,Нет | Да,89,21664
667,rm108,,С тех пор; как начался понос; (у него/у нее) были боли в брюшной полости: в животе; толстом и тонком кишечнике; желудке? ,Since; began as diarrhea; (he / she) were abdominal pain: stomach; small and large intestine; stomach?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,89,21664
668,rm109,,Скажите; пожалуйста; была (у него/у нее) лейкемия? ,tell me; please; was (he / she) leukemia?,Нет | Да | НЕТ ОТВЕТА,3799,17954
669,rm111,,В каком возрасте у неё была первая менструация? ,At what age she had first menstruation?,1.2e+01 | 1.1e+01 | 1.3e+01 | 1.0e+01 | 8.0e+00 | 1.0e+08,143,21610
670,rm11311a,,Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз упражнениями на тренажерах? ,"Did you do during the last 12 months, at least 12 times the exercises at the gym?",Нет | Да | НЕТ ОТВЕТА,17954,3799
671,rm11311b,,Сколько месяцев? ,How many months?,1.2e+01 | 6.0e+00 | 3.0e+00 | 4.0e+00 | 9.0e+00 | 1.0e+01,1001,20752
672,rm11311c,,Сколько раз в месяц? ,How many times a month?,8.0e+00 | 1.2e+01 | 4.0e+00 | 3.0e+01 | 1.0e+01 | 1.5e+01,1001,20752
673,rm11311d,,Сколько минут одно занятие? ,How many minutes of one session?,6.0e+01 | 3.0e+01 | 9.0e+01 | 1.2e+02 | 4.0e+01 | 2.0e+01,1001,20752
674,rm11312a,,Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз прогулочной ходьбой? ,"Did you do during the last 12 months, at least 12 times casual walking?",Нет | Да | НЕТ ОТВЕТА,17954,3799
675,rm11312b,,Сколько месяцев? ,How many months?,1.2e+01 | 3.0e+00 | 6.0e+00 | 1.0e+01 | 4.0e+00 | 9.0e+00,1407,20346
676,rm11312c,,Сколько раз в месяц? ,How many times a month?,3.0e+01 | 2.0e+01 | 1.5e+01 | 1.0e+01 | 2.5e+01 | 4.0e+00,1407,20346
677,rm11312d,,Сколько минут одно занятие? ,How many minutes of one session?,6.0e+01 | 3.0e+01 | 4.0e+01 | 1.2e+02 | 2.0e+01 | 9.0e+01,1407,20346
678,rm11313a,,Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз спортивной ходьбой? ,"Did you do during the last 12 months, at least 12 times sports walking?",Нет | Да | НЕТ ОТВЕТА,17954,3799
679,rm11313b,,Сколько месяцев? ,How many months?,1.2e+01 | 4.0e+00 | 3.0e+00 | 5.0e+00 | 1.0e+08 | 6.0e+00,57,21696
680,rm11313c,,Сколько раз в месяц? ,How many times a month?,3.0e+01 | 4.0e+00 | 1.5e+01 | 1.2e+01 | 1.0e+08 | 2.0e+01,57,21696
681,rm11313d,,Сколько минут одно занятие? ,How many minutes of one session?,6.0e+01 | 3.0e+01 | 2.0e+01 | 9.0e+01 | 4.0e+01 | 1.0e+08,57,21696
682,rm11314a,,Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз ездой на велосипеде? ,"Did you do during the last 12 months, at least 12 times cycling?",Нет | Да | НЕТ ОТВЕТА,17954,3799
683,rm11314b,,Сколько месяцев? ,How many months?,3.0e+00 | 6.0e+00 | 4.0e+00 | 5.0e+00 | 1.2e+01 | 7.0e+00,549,21204
684,rm11314c,,Сколько раз в месяц? ,How many times a month?,2.0e+01 | 1.0e+01 | 3.0e+01 | 1.5e+01 | 4.0e+00 | 8.0e+00,549,21204
685,rm11314d,,Сколько минут одно занятие? ,How many minutes of one session?,6.0e+01 | 3.0e+01 | 1.2e+02 | 2.0e+01 | 9.0e+01 | 4.0e+01,549,21204
686,rm113.1a,,Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз бегом трусцой; катанием на коньках; лыжах? ,"Did you do during the last 12 months, at least 12 times jogging; ice skating; skiing?",Нет | Да | НЕТ ОТВЕТА,17954,3799
687,rm113.1b,,Сколько месяцев? ,How many months?,3.0e+00 | 1.2e+01 | 4.0e+00 | 6.0e+00 | 9.0e+00 | 2.0e+00,739,21014
688,rm113.1c,,Сколько раз в месяц? ,How many times a month?,4.0e+00 | 8.0e+00 | 3.0e+01 | 1.2e+01 | 1.0e+01 | 6.0e+00,739,21014
689,rm113.1d,,Сколько минут одно занятие? ,How many minutes of one session?,6.0e+01 | 1.2e+02 | 3.0e+01 | 9.0e+01 | 4.0e+01 | 4.5e+01,739,21014
690,rm113.2a,,Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз плаванием? ,"Did you do during the last 12 months, at least 12 times in swimming?",Нет | Да | НЕТ ОТВЕТА,17954,3799
691,rm113.2b,,Сколько месяцев? ,How many months?,1.2e+01 | 3.0e+00 | 2.0e+00 | 4.0e+00 | 6.0e+00 | 9.0e+00,754,20999
692,rm113.2c,,Сколько раз в месяц? ,How many times a month?,4.0e+00 | 8.0e+00 | 1.0e+01 | 2.0e+01 | 1.2e+01 | 6.0e+00,754,20999
693,rm113.2d,,Сколько минут одно занятие? ,How many minutes of one session?,6.0e+01 | 4.5e+01 | 3.0e+01 | 4.0e+01 | 1.2e+02 | 9.0e+01,754,20999
694,rm113.3a,,Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз танцами; аэробикой; шейпингом; йогой? ,"Did you do during the last 12 months, at least 12 times dancing; aerobics; shaping; yoga?",Нет | Да | НЕТ ОТВЕТА,17954,3799
695,rm113.3b,,Сколько месяцев? ,How many months?,1.2e+01 | 3.0e+00 | 6.0e+00 | 9.0e+00 | 1.0e+01 | 2.0e+00,334,21419
696,rm113.3c,,Сколько раз в месяц? ,How many times a month?,8.0e+00 | 1.2e+01 | 4.0e+00 | 3.0e+01 | 1.5e+01 | 1.0e+01,334,21419
697,rm113.3d,,Сколько минут одно занятие? ,How many minutes of one session?, 60 |  90 | 120 |  40 |  30 |  45,334,21419
698,rm113.4a,,Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз баскетболом; волейболом; футболом; хоккеем? ,"Did you do during the last 12 months, at least 12 times in basketball; volleyball; football; hockey?",Нет | Да | НЕТ ОТВЕТА,17954,3799
699,rm113.4b,,Сколько месяцев? ,How many months?,1.2e+01 | 9.0e+00 | 6.0e+00 | 1.0e+01 | 7.0e+00 | 8.0e+00,667,21086
700,rm113.4c,,Сколько раз в месяц? ,How many times a month?,8.0e+00 | 4.0e+00 | 1.2e+01 | 1.0e+01 | 6.0e+00 | 3.0e+00,667,21086
701,rm113.4d,,Сколько минут одно занятие? ,How many minutes of one session?,      60 |      120 |       90 |       45 |       40 |       30,667,21086
702,rm11351a,,Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз борьбой; боксом; карате? ,"Did you do during the last 12 months, at least 12 times a struggle; boxing; Karate?",Нет | Да | НЕТ ОТВЕТА,17954,3799
703,rm11351b,,Сколько месяцев? ,How many months?,1.2e+01 | 9.0e+00 | 1.0e+01 | 6.0e+00 | 3.0e+00 | 8.0e+00,156,21597
704,rm11351c,,Сколько раз в месяц? ,How many times a month?,8.0e+00 | 1.2e+01 | 4.0e+00 | 2.0e+01 | 1.0e+01 | 2.0e+00,156,21597
705,rm11351d,,Сколько минут одно занятие? ,How many minutes of one session?, 60 | 120 |  90 |  40 | 180 |  30,156,21597
706,rm113.5a,,Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз бадминтоном; теннисом - большим или настольным? ,"Did you do during the last 12 months, at least 12 times badminton; tennis - tennis or table?",Нет | Да | НЕТ ОТВЕТА,17954,3799
707,rm113.5b,,Сколько месяцев? ,How many months?,12 |  3 |  6 |  2 |  9 | 10,111,21642
708,rm113.5c,,Сколько раз в месяц? ,How many times a month?, 4 |  8 | 20 | 10 | 12 |  1,111,21642
709,rm113.5d,,Сколько минут одно занятие? ,How many minutes of one session?, 60 |  90 |  30 |  40 | 120 |  45,111,21642
710,rm113.6a,,Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз чем-нибудь другим? ,"Did you do during the last 12 months, at least 12 times with something else?",Нет | Да | НЕТ ОТВЕТА,17954,3799
711,rm113.6b,,Сколько месяцев? ,How many months?,1.2e+01 | 9.0e+00 | 1.0e+01 | 6.0e+00 | 3.0e+00 | 2.0e+00,613,21140
712,rm113.6c,,Сколько раз в месяц? ,How many times a month?,3.0e+01 | 8.0e+00 | 4.0e+00 | 1.2e+01 | 2.0e+01 | 1.0e+01,613,21140
713,rm113.6d,,Сколько минут одно занятие? ,How many minutes of one session?,3.0e+01 | 1.5e+01 | 6.0e+01 | 2.0e+01 | 4.5e+01 | 1.0e+01,613,21140
714,rm114,,Какой из вариантов описания лучше всего соответствует Вашим занятиям физкультурой? Не учитывайте физические нагрузки на работе ,Which option best fits the description of your physical training? Do not include physical activity at work,ФИЗКУЛЬТУРОЙ НЕ ЗАНИМАЕТСЯ | Легкие физкультурные упражнения для отдыха менее трех раз в неделю | Ежедневные занятия физкультурой по меньшей мере 30 минут в день | Физкультурные упражнения средней или высокой тяжести менее трех раз в неделю | Физкультурные упражнения высокой тяжести по крайней мере три раза в неделю 15 минут и более | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,17954,3799
715,rm117.0,,За последние 30 дней Вы принимали какие-либо витамины; минеральные вещества; биологически активные добавки? ,Over the past 30 days you are taking any vitamins; minerals; dietary supplements?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,17954,3799
716,rm117.1,,За последние 12 месяцев Вы сидели на какой-нибудь диете? Диетой мы считаем любое изменение в Вашей обычной еде именно для того; чтобы сбросить вес; похудеть; сохранить или улучшить здоровье? ,"Over the past 12 months, have you sat on some diet? Diet we consider any change in your usual meal is in order; to lose weight; lose weight; maintain or improve health?",Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,17954,3799
717,rm131,,В течение последних 12 месяцев у Вас были серьёзные нервные расстройства; депрессии? ,Over the past 12 months have you had serious nervous disorders; Depression?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,21753,0
718,rm147,,Вы сказали; что Вы бросили курить. Вы дали приблизительный или точный ответ? ,You said; that you quit smoking. You gave an approximate or exact answer?,ТОЧНЫЙ | ПРИБЛИЗИТЕЛЬНЫЙ | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА,465,21288
719,rm148_a,,Не могли бы Вы дать более точный ответ? ВОЗРАСТ РЕСПОНДЕНТА БЫЛ: ,Could you give a more accurate answer? AGE respondents were:,1.0e+08 | 2.3e+01 | 3.0e+01 | 3.5e+01 | 4.0e+01 | 2.5e+01,133,21620
720,rm148_b,,Не могли бы Вы дать более точный ответ? БОЛЕЕ ТОЧНОЕ ЧИСЛО ЛЕТ ТОМУ НАЗАД БРОСИЛ(А) КУРИТЬ ,Could you give a more accurate answer? More accurate number YEARS AGO throw (A) SMOKING,24 |  4 | 11 | 12 | 23 | 22,62,21691
721,rm149,,По какой цене Вы обычно покупаете пачку сигарет; папирос; табака; которые курите? ,At what price you would normally buy a pack of cigarettes; cigarettes; tobacco; who smoke?,4.00e+01 | 5.00e+01 | 3.50e+01 | 3.70e+01 | 3.00e+01 | 4.50e+01,5334,16419
722,rm150,,Что Вы предпримите; если цены на сигареты; папиросы; табак; которые Вы обычно курите; вырастут в два раза? ,What you do; if the price of cigarettes; cigarettes; tobacco; you usually smoke; rise twice?,"Не измените своего поведения | Постараетесь бросить курить | Постараетесь меньше курить,но будете курить тот же сорт | Будете покупать более дешевые сигареты, папиросы, табак | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА",5334,16419
723,rm151,,Как часто Вы питаетесь вне дома? ,How often do you eat out?,Питаетесь только дома | Все рабочие дни недели вне дома | В среднем 2-3 раза в неделю вне дома | В среднем меньше 2-х раз в неделю | Практически всегда питаетесь вне дома | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ,17954,3799
724,rm152,,Удается ли Вам в целом питаться регулярно; не реже 3-х раз в день; изо дня в день? ,Are you able to eat regularly as a whole; at least 3 times a day; from day to day?,"Да, удаётся | Скорее да, чем нет | Скорее нет, чем да | Никогда не удаётся | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА",17954,3799
725,rm2,,А какой у Вас рост в сантиметрах? ,And what is your height in centimeters?,1.700e+02 | 1.640e+02 | 1.650e+02 | 1.600e+02 | 1.680e+02 | 1.750e+02,21753,0
726,rm20.61,,Есть ли у Вас заболевания сердца? ,Do you have heart disease?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,21753,0
727,rm20.610,,Есть ли у Вас заболевания суставов? ,Do you have a disease of the joints?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,17954,3799
728,rm20.611,,Есть ли у Вас заболевание ЛОР-органов? ,Do you have a disease of upper respiratory tract?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,21753,0
729,rm20.612,,Есть ли у Вас неврологические заболевания? ,Do you have a neurological disease?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,21753,0
730,rm20.613,,Есть ли у Вас заболевания глаз? ,Do you have an eye disease?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,21753,0
731,rm20.614,,"Есть ли у Вас гинекологические заболевания? *В 2013 году этот вопрос не задается мужчинам. А 2012 году у мужчин он был равен 2 ""Нет"". ","Do you have a gynecological disease? * In 2013, this question is not given to men. And in 2012 he was among men is 2 ""No"".",Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,10355,11398
732,rm20.615,,Есть ли у Вас аллергия? ,Do you have allergies?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,21753,0
733,rm20.616,,Есть ли у Вас варикозное расширение вен? ,Do you have varicose veins?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,17954,3799
734,rm20.617,,Есть ли у Вас заболевания кожного покрова? ,Do you have a disease of the skin?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,17954,3799
735,rm20.618,,Есть ли у Вас онкологические заболевания? ,Do you have cancer?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,17954,3799
736,rm20.619,,"Есть ли у Вас заболевания мочеполовой системы? *Этот пункт добавлен в 2013 году. В 2012 году эти заболевания попадали в пункт ""Другие хронические заболевания"" ","Do you have any diseases of the genitourinary system? * This item has been added in 2013. In 2012, these diseases fall into the item ""Other chronic diseases""",Нет | Да | НЕТ ОТВЕТА | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | ОТКАЗ ОТ ОТВЕТА,17954,3799
737,rm20.62,,"Есть ли у Вас заболевания легких; бронхов? *В 2013 году в формулировку вопроса добавили слово ""бронхов"" ","Do you have a lung disease; bronchi? * In 2013, in the wording of the question have added the word ""bronchi""",Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,21753,0
738,rm20.63,,Есть ли у Вас заболевания печени? ,Do you have a liver disease?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,21753,0
739,rm20.64,,Есть ли у Вас заболевания почек? ,Do you have kidney disease?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,21753,0
740,rm20.65,,Есть ли у Вас заболевания желудочно-кишечного тракта? ,Do you have a disease of the gastrointestinal tract?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,21753,0
741,rm20.66,,Есть ли у Вас заболевания позвоночника? ,Do you have a disease of the spine?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,21753,0
742,rm20.67,,Есть ли у Вас другие хронические заболевания? ,Do you have any other chronic disease?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,21753,0
743,rm20.67s,,Какие другие хронические заболевания у Вас есть? ,What other chronic diseases do you have?,                                                                 |  9-НЕТ ОТВЕТА                                                    | Заболевание кровеносной системы                                  | Заболевание стопы ног                                            | Болезнь сосудов                                                  | Психическое расстройство нервной системы                        ,21753,0
744,rm20.68,,Есть ли у Вас заболевания эндокринной системы; диабет или повышенный сахар крови? ,Do you have a disease of the endocrine system; diabetes or high blood sugar?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,17954,3799
745,rm20.69,,Есть ли у Вас гипертоническая болезнь; повышенное артериальное давление? ,Do you have hypertension; high blood pressure?,Нет | Да | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,17954,3799
746,rm20.7,,Назначена ли Вам какая-нибудь группа по инвалидности? ,Do you assigned to any group disability?,Нет | Да | ОФОРМЛЯЕТ ДОКУМЕНТЫ,21753,0
747,rm20.8,,Какая группа инвалидности Вам назначена? *В 2013 году изменены формулировки ответов. В 2012 году они были: 1 – Первая группа или третья степень; 2 – Вторая группа или вторая степень; 3 – Третья группа или первая степень. ,"Which group disability you assigned? * In 2013, changed the wording of the responses. In 2012, they were: 1 - The first group or the third degree; 2 - The second group or second degree; 3 - The third group or the first degree.",Вторая группа | Третья группа | Первая группа | ЗАТРУДНЯЮСЬ ОТВЕТИТЬ | НЕТ ОТВЕТА | ОТКАЗ ОТ ОТВЕТА,1713,20040
