"","varcode","nro","russian","english"
"627","rl78.3b",481,"Сколько заплатили в рублях?","How many paid in rubles?"
"628","rl79.1a",483,"Вы или Ваша семья платили официально в кассу согласно официальным правилам или официальному прейскуранту медицинского учреждения за это профилактическое обследование в течение последних трех месяцев?","You or your family officially paid in cash according to the official rules, or the official price list of medical institutions for this preventive care in the last three months?"
"629","rl79.1b",484,"Сколько заплатили в рублях?","How many paid in rubles?"
"630","rl79.2a",485,"Вы или Ваша семья платили неофициально; в руки деньгами - без оформления каких- либо документов за это профилактическое обследование в течение последних трех месяцев?","You or your family paid informally; in the hands of money - without registration of any documents for this preventive care in the last three months?"
"631","rl79.2b",486,"Сколько заплатили в рублях?","How many paid in rubles?"
"632","rl79.3a",487,"Вы или Ваша семья платили неофициально; в руки подарками за это профилактическое обследование в течение последних трех месяцев?","You or your family paid informally; into the hands of gifts for this preventive care in the last three months?"
"633","rl79.3b",488,"Сколько заплатили в рублях?","How many paid in rubles?"
"634","rl81.1",823,"Какие еще меры принимает семья; чтобы укрепить здоровье Вашего ребенка и предупредить возможные заболевания? Закаливание","What other measures is the family; to improve the health of your child and prevent possible disease? hardening"
"635","rl81.2",824,"Какие еще меры принимает семья; чтобы укрепить здоровье Вашего ребенка и предупредить возможные заболевания? Правильное питание","What other measures is the family; to improve the health of your child and prevent possible disease? proper nutrition"
"636","rl81.3",825,"Какие еще меры принимает семья; чтобы укрепить здоровье Вашего ребенка и предупредить возможные заболевания? Витамины/пищевые добавки","What other measures is the family; to improve the health of your child and prevent possible disease? Vitamins / supplements"
"637","rl81.4",826,"Какие еще меры принимает семья; чтобы укрепить здоровье Вашего ребенка и предупредить возможные заболевания? Соблюдение режима дня","What other measures is the family; to improve the health of your child and prevent possible disease? Adherence of the day"
"638","rl81.5",827,"Какие еще меры принимает семья; чтобы укрепить здоровье Вашего ребенка и предупредить возможные заболевания? Спортивные занятия","What other measures is the family; to improve the health of your child and prevent possible disease? Sports Activities"
"639","rl81.6",828,"Какие еще меры принимает семья; чтобы укрепить здоровье Вашего ребенка и предупредить возможные заболевания? Посещение бани; сауны","What other measures is the family; to improve the health of your child and prevent possible disease? Seen baths; saunas"
"640","rl81.7",829,"Какие еще меры принимает семья; чтобы укрепить здоровье Вашего ребенка и предупредить возможные заболевания? Обязательные прогулки на свежем воздухе","What other measures is the family; to improve the health of your child and prevent possible disease? Required walking outdoors"
"641","rl81.8",830,"Какие еще меры принимает семья; чтобы укрепить здоровье Вашего ребенка и предупредить возможные заболевания? Другое; что именно?","What other measures is the family; to improve the health of your child and prevent possible disease? Other; what?"
"642","rl81.8s",831,"Другое к rl81 - Какие еще меры принимает семья; чтобы укрепить здоровье Вашего ребенка и предупредить возможные заболевания?","Other to rl81 - What other measures is the family; to improve the health of your child and prevent possible disease?"
"643","rl83",428,"Сколько раз Вы себе или кто-нибудь для Вас вызывал «Скорую помощь» в течение последних 12 месяцев?","How many times have you yourself or someone for you called ""emergency"" in the past 12 months?"
"644","rl841.1a",429,"Платили ли Вы за вызовы Скорой помощи официально с оформлением документов на оплату в течение последних 12 месяцев?","Did you pay for the call ""ambulance"" officially with the paperwork for payment in the last 12 months?"
"645","rl841.1b",430,"Сколько Вы заплатили за вызовы Скорой помощи официально с оформлением документов на оплату в течение последних 12 месяцев?","How much do you pay for calls ""first aid"" officially with the paperwork for payment in the last 12 months?"
"646","rl841.2a",431,"Платили ли Вы за вызовы Скорой помощи неофициально; в руки; деньгами - без оформления каких-либо документов; в течение последних 12 месяцев?","Did you pay for the call ""ambulance"" informally; in the hands; money - without filing any documents; in the last 12 months?"
"647","rl841.2b",432,"Сколько Вы заплатили за вызовы Скорой помощи неофициально; в руки; деньгами - без оформления каких-либо документов; в течение последних 12 месяцев?","How much do you pay for calls ""first aid"" informally; in the hands; money - without filing any documents; in the last 12 months?"
"648","rl841.3a",433,"Платили ли Вы за вызовы Скорой помощи неофициально; в руки; подарками в течение последних 12 месяцев?","Did you pay for the call ""ambulance"" informally; in the hands; gifts in the last 12 months?"
"649","rl841.3b",434,"Сколько Вы заплатили за вызовы Скорой помощи неофициально; в руки; подарками в течение последних 12 месяцев?","How much do you pay for calls ""first aid"" informally; in the hands; gifts in the last 12 months?"
"650","rl88.1a",443,"Вы или Ваша семья платили официально в кассу согласно официальным правилам или официальному прейскуранту за амбулаторную нестоматологическую помощь; оказанную Вам медработниками в течение последних 30 дней?","You or your family officially paid in cash according to the official rules, or the official price list for outpatient nestomatologicheskuyu assistance; provide you with health care providers in the last 30 days?"
"651","rl88.1b",444,"Сколько заплатили в рублях?","How many paid in rubles?"
"652","rl88.2a",445,"Вы или Ваша семья платили неофициально; в руки деньгами - без оформления каких- либо документов за амбулаторную нестоматологическую помощь; оказанную Вам медработниками в течение последних 30 дней?","You or your family paid informally; in the hands of money - without registration of any documents for outpatient nestomatologicheskuyu assistance; provide you with health care providers in the last 30 days?"
"653","rl88.2b",446,"Сколько заплатили в рублях?","How many paid in rubles?"
"654","rl88.3a",447,"Вы или Ваша семья платили неофициально; в руки подарками за амбулаторную нестоматологическую помощь; оказанную Вам медработниками в течение последних 30 дней?","You or your family paid informally; into the hands of presents for outpatient nestomatologicheskuyu assistance; provide you with health care providers in the last 30 days?"
"655","rl88.3b",448,"Сколько заплатили в рублях?","How many paid in rubles?"
"656","rl89",451,"В течение последних 12 месяцев Вы пропустили по болезни сколько-нибудь рабочих или учебных дней?","During the past 12 months, have you missed due to illness any working or school days?"
"657","rl90",452,"Сколько всего дней Вы пропустили по болезни за последние 12 месяцев?","How many days did you miss due to illness in the past 12 months?"
"658","rm1",489,"Сколько килограмм Вы весите?","How many pounds you weigh?"
"659","rm100",836,"В последние 7 дней (у него/у нее) резались зубы?","In the last 7 days (he / she) were cut teeth?"
"660","rm101",837,"В последние 7 дней (у него/у нее) был понос?","In the past 7 days (he / she) had diarrhea?"
"661","rm102",838,"Сколько дней из последних 7 дней (у него/у нее) был понос?","How many days in the past 7 days (he / she) had diarrhea?"
"662","rm103",839,"Сколько раз за последние 24 часа (у него/у нее) был стул?","How many times in the last 24 hours (he / she) was a chair?"
"663","rm104",840,"Скажите; пожалуйста; в течение последних 7 дней Вы замечали (у него/у нее) в стуле слизь - белесую или какого-нибудь другого цвета?","tell me; please; in the last 7 days you noticed (he / she) mucus in the stool - whitish or some other color?"
"664","rm105",841,"В течение последних 7 дней Вы замечали (к него/у нее) в стуле кровь?","During the past 7 days did you notice (by him / her) blood in the stool?"
"665","rm106",842,"Скажите; пожалуйста; с тех пор; как начался понос; Вы замечали (у него/у нее) какие-нибудь другие признаки болезни? Была (у него/у нее) повышенная температура?","tell me; please; since; began as diarrhea; Have you noticed (he / she) any other signs of the disease? Was (he / she) fever?"
"666","rm107",843,"С тех пор; как начался понос; (у него/у неe) была рвота?","Since; began as diarrhea; (he / u nee) was vomiting?"
"667","rm108",844,"С тех пор; как начался понос; (у него/у нее) были боли в брюшной полости: в животе; толстом и тонком кишечнике; желудке?","Since; began as diarrhea; (he / she) were abdominal pain: stomach; small and large intestine; stomach?"
"668","rm109",845,"Скажите; пожалуйста; была (у него/у нее) лейкемия?","tell me; please; was (he / she) leukemia?"
"669","rm111",846,"В каком возрасте у неё была первая менструация?","At what age she had first menstruation?"
"670","rm11311a",597,"Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз упражнениями на тренажерах?","Did you do during the last 12 months, at least 12 times the exercises at the gym?"
"671","rm11311b",598,"Сколько месяцев?","How many months?"
"672","rm11311c",599,"Сколько раз в месяц?","How many times a month?"
"673","rm11311d",600,"Сколько минут одно занятие?","How many minutes of one session?"
"674","rm11312a",601,"Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз прогулочной ходьбой?","Did you do during the last 12 months, at least 12 times casual walking?"
"675","rm11312b",602,"Сколько месяцев?","How many months?"
"676","rm11312c",603,"Сколько раз в месяц?","How many times a month?"
"677","rm11312d",604,"Сколько минут одно занятие?","How many minutes of one session?"
"678","rm11313a",605,"Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз спортивной ходьбой?","Did you do during the last 12 months, at least 12 times sports walking?"
"679","rm11313b",606,"Сколько месяцев?","How many months?"
"680","rm11313c",607,"Сколько раз в месяц?","How many times a month?"
"681","rm11313d",608,"Сколько минут одно занятие?","How many minutes of one session?"
"682","rm11314a",609,"Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз ездой на велосипеде?","Did you do during the last 12 months, at least 12 times cycling?"
"683","rm11314b",610,"Сколько месяцев?","How many months?"
"684","rm11314c",611,"Сколько раз в месяц?","How many times a month?"
"685","rm11314d",612,"Сколько минут одно занятие?","How many minutes of one session?"
"686","rm113.1a",593,"Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз бегом трусцой; катанием на коньках; лыжах?","Did you do during the last 12 months, at least 12 times jogging; ice skating; skiing?"
"687","rm113.1b",594,"Сколько месяцев?","How many months?"
"688","rm113.1c",595,"Сколько раз в месяц?","How many times a month?"
"689","rm113.1d",596,"Сколько минут одно занятие?","How many minutes of one session?"
"690","rm113.2a",613,"Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз плаванием?","Did you do during the last 12 months, at least 12 times in swimming?"
"691","rm113.2b",614,"Сколько месяцев?","How many months?"
"692","rm113.2c",615,"Сколько раз в месяц?","How many times a month?"
"693","rm113.2d",616,"Сколько минут одно занятие?","How many minutes of one session?"
"694","rm113.3a",617,"Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз танцами; аэробикой; шейпингом; йогой?","Did you do during the last 12 months, at least 12 times dancing; aerobics; shaping; yoga?"
"695","rm113.3b",618,"Сколько месяцев?","How many months?"
"696","rm113.3c",619,"Сколько раз в месяц?","How many times a month?"
"697","rm113.3d",620,"Сколько минут одно занятие?","How many minutes of one session?"
"698","rm113.4a",621,"Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз баскетболом; волейболом; футболом; хоккеем?","Did you do during the last 12 months, at least 12 times in basketball; volleyball; football; hockey?"
"699","rm113.4b",622,"Сколько месяцев?","How many months?"
"700","rm113.4c",623,"Сколько раз в месяц?","How many times a month?"
"701","rm113.4d",624,"Сколько минут одно занятие?","How many minutes of one session?"
"702","rm11351a",629,"Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз борьбой; боксом; карате?","Did you do during the last 12 months, at least 12 times a struggle; boxing; Karate?"
"703","rm11351b",630,"Сколько месяцев?","How many months?"
"704","rm11351c",631,"Сколько раз в месяц?","How many times a month?"
"705","rm11351d",632,"Сколько минут одно занятие?","How many minutes of one session?"
"706","rm113.5a",625,"Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз бадминтоном; теннисом - большим или настольным?","Did you do during the last 12 months, at least 12 times badminton; tennis - tennis or table?"
"707","rm113.5b",626,"Сколько месяцев?","How many months?"
"708","rm113.5c",627,"Сколько раз в месяц?","How many times a month?"
"709","rm113.5d",628,"Сколько минут одно занятие?","How many minutes of one session?"
"710","rm113.6a",633,"Вы занимались в течение последних 12 месяцев по меньшей мере 12 раз чем-нибудь другим?","Did you do during the last 12 months, at least 12 times with something else?"
"711","rm113.6b",634,"Сколько месяцев?","How many months?"
"712","rm113.6c",635,"Сколько раз в месяц?","How many times a month?"
"713","rm113.6d",636,"Сколько минут одно занятие?","How many minutes of one session?"
"714","rm114",637,"Какой из вариантов описания лучше всего соответствует Вашим занятиям физкультурой? Не учитывайте физические нагрузки на работе","Which option best fits the description of your physical training? Do not include physical activity at work"
"715","rm117.0",591,"За последние 30 дней Вы принимали какие-либо витамины; минеральные вещества; биологически активные добавки?","Over the past 30 days you are taking any vitamins; minerals; dietary supplements?"
"716","rm117.1",592,"За последние 12 месяцев Вы сидели на какой-нибудь диете? Диетой мы считаем любое изменение в Вашей обычной еде именно для того; чтобы сбросить вес; похудеть; сохранить или улучшить здоровье?","Over the past 12 months, have you sat on some diet? Diet we consider any change in your usual meal is in order; to lose weight; lose weight; maintain or improve health?"
"717","rm131",527,"В течение последних 12 месяцев у Вас были серьёзные нервные расстройства; депрессии?","Over the past 12 months have you had serious nervous disorders; Depression?"
"718","rm147",539,"Вы сказали; что Вы бросили курить. Вы дали приблизительный или точный ответ?","You said; that you quit smoking. You gave an approximate or exact answer?"
"719","rm148_a",540,"Не могли бы Вы дать более точный ответ? ВОЗРАСТ РЕСПОНДЕНТА БЫЛ:","Could you give a more accurate answer? AGE respondents were:"
"720","rm148_b",541,"Не могли бы Вы дать более точный ответ? БОЛЕЕ ТОЧНОЕ ЧИСЛО ЛЕТ ТОМУ НАЗАД БРОСИЛ(А) КУРИТЬ","Could you give a more accurate answer? More accurate number YEARS AGO throw (A) SMOKING"
"721","rm149",535,"По какой цене Вы обычно покупаете пачку сигарет; папирос; табака; которые курите?","At what price you would normally buy a pack of cigarettes; cigarettes; tobacco; who smoke?"
"722","rm150",536,"Что Вы предпримите; если цены на сигареты; папиросы; табак; которые Вы обычно курите; вырастут в два раза?","What you do; if the price of cigarettes; cigarettes; tobacco; you usually smoke; rise twice?"
"723","rm151",589,"Как часто Вы питаетесь вне дома?","How often do you eat out?"
"724","rm152",590,"Удается ли Вам в целом питаться регулярно; не реже 3-х раз в день; изо дня в день?","Are you able to eat regularly as a whole; at least 3 times a day; from day to day?"
"725","rm2",490,"А какой у Вас рост в сантиметрах?","And what is your height in centimeters?"
"726","rm20.61",493,"Есть ли у Вас заболевания сердца?","Do you have heart disease?"
"727","rm20.610",501,"Есть ли у Вас заболевания суставов?","Do you have a disease of the joints?"
"728","rm20.611",502,"Есть ли у Вас заболевание ЛОР-органов?","Do you have a disease of upper respiratory tract?"
"729","rm20.612",503,"Есть ли у Вас неврологические заболевания?","Do you have a neurological disease?"
"730","rm20.613",504,"Есть ли у Вас заболевания глаз?","Do you have an eye disease?"
"731","rm20.614",509,"Есть ли у Вас гинекологические заболевания? *В 2013 году этот вопрос не задается мужчинам. А 2012 году у мужчин он был равен 2 Нет.","Do you have a gynecological disease? * In 2013, this question is not given to men. And in 2012 he was among men is 2 ""No""."
"732","rm20.615",505,"Есть ли у Вас аллергия?","Do you have allergies?"
"733","rm20.616",506,"Есть ли у Вас варикозное расширение вен?","Do you have varicose veins?"
"734","rm20.617",507,"Есть ли у Вас заболевания кожного покрова?","Do you have a disease of the skin?"
"735","rm20.618",508,"Есть ли у Вас онкологические заболевания?","Do you have cancer?"
"736","rm20.619",510,"Есть ли у Вас заболевания мочеполовой системы? *Этот пункт добавлен в 2013 году. В 2012 году эти заболевания попадали в пункт Другие хронические заболевания","Do you have any diseases of the genitourinary system? * This item has been added in 2013. In 2012, these diseases fall into the item ""Other chronic diseases"""
"737","rm20.62",494,"Есть ли у Вас заболевания легких; бронхов? *В 2013 году в формулировку вопроса добавили слово бронхов","Do you have a lung disease; bronchi? * In 2013, in the wording of the question have added the word ""bronchi"""
"738","rm20.63",495,"Есть ли у Вас заболевания печени?","Do you have a liver disease?"
"739","rm20.64",496,"Есть ли у Вас заболевания почек?","Do you have kidney disease?"
"740","rm20.65",497,"Есть ли у Вас заболевания желудочно-кишечного тракта?","Do you have a disease of the gastrointestinal tract?"
"741","rm20.66",498,"Есть ли у Вас заболевания позвоночника?","Do you have a disease of the spine?"
"742","rm20.67",511,"Есть ли у Вас другие хронические заболевания?","Do you have any other chronic disease?"
"743","rm20.67s",512,"Какие другие хронические заболевания у Вас есть?","What other chronic diseases do you have?"
"744","rm20.68",499,"Есть ли у Вас заболевания эндокринной системы; диабет или повышенный сахар крови?","Do you have a disease of the endocrine system; diabetes or high blood sugar?"
"745","rm20.69",500,"Есть ли у Вас гипертоническая болезнь; повышенное артериальное давление?","Do you have hypertension; high blood pressure?"
"746","rm20.7",513,"Назначена ли Вам какая-нибудь группа по инвалидности?","Do you assigned to any group disability?"
"747","rm20.8",514,"Какая группа инвалидности Вам назначена? *В 2013 году изменены формулировки ответов. В 2012 году они были: 1 – Первая группа или третья степень; 2 – Вторая группа или вторая степень; 3 – Третья группа или первая степень.","Which group disability you assigned? * In 2013, changed the wording of the responses. In 2012, they were: 1 - The first group or the third degree; 2 - The second group or second degree; 3 - The third group or the first degree."
"748","rm20.9m",515,"Когда Вам была назначена инвалидность? Вспомните; пожалуйста; месяц","When you were appointed as a disability? Remember; please; month"
"749","rm20.9y",516,"Когда Вам была назначена инвалидность? Вспомните; пожалуйста; год","When you were appointed as a disability? Remember; please; year"
"750","rm2.1",491,"Как изменился Ваш вес в течение последнего года? *В 2013 году в детском вопроснике добавили слова: Если ребенку еще нет года; то как изменился (его\ее) вес с момента рождения?","How has your weight over the past year? * In 2013, in the children's questionnaire added the words: ""If the child is not yet a year, how has changed (his \ her) weight at birth?"""
"751","rm3",492,"Как Вы оцениваете Ваше здоровье. Оно у Вас:?","How do you assess your health. It you :?"
"752","rm39",517,"В течение последних 12 месяцев Вам делали хирургические операции?","Over the past 12 months did you surgeries?"
"753","rm43",518,"Говорил ли Вам когда-нибудь врач; что у Вас диабет или повышенный сахар в крови?","Say whether you've ever had a doctor; that you have diabetes or high blood sugar?"
"754","rm46",519,"Ставили Вам когда-нибудь диагноз инфаркт миокарда?","Put you ever been diagnosed with ""myocardial infarction""?"
"755","rm58.1",520,"Говорил ли Вам когда-нибудь врач; что у Вас повышенное артериальное давление?","Say whether you've ever had a doctor; that you have high blood pressure?"
"756","rm59",521,"Ставил Вам врач диагноз инсульт (кровоизлияние в мозг)?","You put the doctor diagnosed a stroke (cerebral hemorrhage)?"
"757","rm62",522,"В течение последних 12 месяцев говорил Вам врач; что у Вас анемия?","In the last 12 months the doctor told you; that you have anemia?"
"758","rm62.1",523,"Говорил Вам когда-нибудь врач; что у Вас туберкулез?","I say to you someday doctor; that if you have TB?"
"759","rm62.3",524,"Ставили Вам когда-нибудь диагноз гепатит; болезнь Боткина; желтуха?","Put you ever been diagnosed with ""hepatitis""; ""infectious disease""; ""jaundice""?"
"760","rm62.5",525,"Каким типом гепатита Вы болели?","What type of hepatitis you sick?"
"761","rm62.5s",526,"ДРУГОЕ к rm62.5s - Каким типом гепатита Вы болели?","To each rm62.5s - What type of hepatitis you sick?"
"762","rm64",528,"Вы пользуетесь очками или контактными линзами?","Do you use glasses or contact lenses?"
"763","rm66",529,"Вы пользуетесь слуховым аппаратом?","Do you use a hearing aid?"
"764","rm71",530,"Вы курите в настоящее время?","Do you smoke now?"
"765","rm72",531,"Когда Вы начали курить? Сколько Вам тогда было лет?","When did you start smoking? How old were you then?"
"766","rm73",532,"В течение последних 7 дней Вы курили что-нибудь?","During the past 7 days did you smoke anything?"
"767","rm74",533,"Что Вы в основном курите? Сейчас я перечислю Вам разные виды курева; а Вы скажите; пожалуйста; что Вы курите чаще всего","What do you mostly smoke? Now I will list you the different types of smokes; and you say; please; that you smoke more often"
"768","rm75",534,"Сколько примерно штук сигарет; папирос или трубок Вы обычно выкуриваете за день?","About how many cigarettes; cigarettes or pipes you usually smoke per day?"
"769","rm77",537,"Вы курили когда-нибудь?","You ever smoked?"
"770","rm78",538,"Сколько лет тому назад Вы бросили курить?","How many years ago you quit smoking?"
"771","rm79",542,"Вспомните; пожалуйста; когда Вы начали курить? Сколько Вам тогда было лет?","Remember; please; when you started smoking? How old were you then?"
"772","rm80",544,"В течение последних 30 дней Вы употребляли алкогольные напитки?","In the last 30 days you drink alcoholic beverages?"
"773","rm80.0",543,"Вы употребляете хотя бы иногда алкогольные напитки; включая пиво","Do you drink at least occasionally alcoholic beverages; including beer"
"774","rm80.1",545,"В течении последних 30 дней Вы употребляли пиво?","During the last 30 days, you drink beer?"
"775","rm81",546,"Как часто Вы употребляли алкогольные напитки в течение последних 30 дней?","How often do you drink alcoholic beverages during the past 30 days?"
"776","rm82.1",547,"Вы пьете алкогольные напитки до еды?","Do you drink alcoholic beverages before a meal?"
"777","rm82.2",548,"Вы пьете алкогольные напитки во время еды?","Do you drink alcoholic beverages during meals?"
"778","rm82.3",549,"Вы пьете алкогольные напитки без еды?","Do you drink alcoholic beverages without food?"
"779","rm83.1",550,"Вы пьете алкогольные напитки дома?","Do you drink alcoholic beverages at home?"
"780","rm83.2",551,"Вы пьете алкогольные напитки в ресторанах или барах?","Do you drink alcoholic beverages in restaurants or bars?"
"781","rm83.3",552,"Вы пьете алкогольные напитки в парке; на улице; в подъезде?","Do you drink alcoholic beverages in the park; on the street; in the stairwell?"
"782","rm83.4",553,"Вы пьете алкогольные напитки на работе; по месту учебы?","Do you drink alcoholic beverages at work; attending college?"
"783","rm83.5",554,"Вы пьете алкогольные напитки в гостях?","Do you drink alcoholic beverages at a party?"
"784","rm84111a",555,"Вы пили пиво промышленного производства в течение последних 30 дней?","You drank beer in industrial production in the last 30 days?"
"785","rm84111b",556,"Сколько грамм пива промышленного производства Вы обычно выпивали за день?","How many grams of beer industrial production do you usually drink per day?"
"786","rm84111d",557,"Сколько дней в месяц Вы пили пиво промышленного производства?","How many days a month you drank beer in industrial production?"
"787","rm84112a",558,"Вы пили пиво домашнее в течение последних 30 дней?","You drank beer at home in the last 30 days?"
"788","rm84112b",559,"Сколько грамм пива домашнего Вы обычно выпивали за день?","How many grams of beer home you usually drink per day?"
"789","rm84112d",560,"Сколько дней в месяц Вы пили пиво домашнее?","How many days a month you were drinking beer at home?"
"790","rm84.12a",561,"Вы пили брагу в течение последних 30 дней?","You drank Braga in the last 30 days?"
"791","rm84.12b",562,"Сколько грамм браги Вы обычно выпивали за день?","How many grams of mash you usually drink per day?"
"792","rm84.12d",563,"Сколько дней в месяц Вы пили брагу?","How many days a month you drank Braga?"
"793","rm84.21a",567,"Вы пили сухое вино; шампанское промышленного производства в течение последних 30 дней?","You drank dry wine; champagne industrial production in the last 30 days?"
"794","rm84.21b",568,"Сколько грамм сухого вина; шампанского промышленного производства Вы обычно выпивали за день?","How many grams of dry wine; industrial production of champagne you usually drink per day?"
"795","rm84.21d",569,"Сколько дней в месяц Вы пили сухое вино; шампанское промышленного производства?","How many days a month you drank dry wine; champagne industrial production?"
"796","rm84.31a",570,"Вы пили крепленое вино промышленного производства; в том числе мартини; вермут в течение последних 30 дней? *В 2013 году в формулировку вопроса добавили слова  в том числе мартини; вермут","You drink fortified wine of industrial production; including martinis; vermouth over the past 30 days? * In 2013, in the wording of the question added the words ""including martinis, vermouth"""
"797","rm84.31b",571,"Сколько грамм крепленого вина промышленного производства Вы обычно выпивали за день?","How many grams of fortified wine industrial production do you usually drink per day?"
"798","rm84.31d",572,"Сколько дней в месяц Вы пили крепленое вино промышленного производства?","How many days a month you drink fortified wine manufacturing?"
"799","rm84.4a",573,"Вы пили самогон в течение последних 30 дней?","You drank moonshine in the last 30 days?"
"800","rm84.4b",574,"Сколько грамм самогона Вы обычно выпивали за день?","How many grams of vodka do you usually drink per day?"
"801","rm84.4d",575,"Сколько дней в месяц Вы пили самогон?","How many days a month you drank moonshine?"
"802","rm84.5a",576,"Вы пили водку или другие крепкие напитки в течение последних 30 дней?","You drank vodka or other spirits in the last 30 days?"
"803","rm84.5b",577,"Сколько грамм водки или других крепких напитков Вы обычно выпивали за день?","How many grams of vodka or other strong drinks do you usually drink per day?"
"804","rm84.5d",578,"Сколько дней в месяц Вы пили водку или другие крепкие напитки?","How many days a month you drank vodka or other spirits?"
"805","rm84.6a",585,"Вы пили что-нибудь другое в течение последних 30 дней?","Did you drink anything else in the last 30 days?"
"806","rm84.6b",586,"Сколько грамм Вы обычно выпивали за день других спиртных напитков; кроме выше перечисленных?","How many grams do you usually drink per day for other alcoholic beverages; except for the above?"
"807","rm84.6c",588,"Что именно другое Вы пили?","What is more you drink?"
"808","rm84.6d",587,"Сколько дней в месяц пили что-нибудь другое?","How many days a month drinking something else?"
"809","rm84.7a",582,"Вы пили коктейли; содержащие алкоголь в течение последних 30 дней?","You drank cocktails; containing alcohol in the last 30 days?"
"810","rm84.7b",583,"Сколько грамм коктейля; содержащего алкоголь; Вы обычно выпивали за день?","How many grams of cocktail; containing alcohol; Do you usually drink per day?"
"811","rm84.7d",584,"Сколько дней в месяц пили коктейли; содержащие алкоголь?","How many days a month drinking cocktails; containing alcohol?"
"812","rm84.8a",564,"Вы пили домашнее вино любое - виноградное; плодово-ягодное и т.п. - в течение последних 30 дней?","You drank homemade wine any - grape; fruit and berry, etc. - During the last 30 days?"
"813","rm84.8b",565,"Сколько грамм любого домашнего вина Вы обычно выпивали за день?","How many grams of any house wine do you usually drink per day?"
"814","rm84.8d",566,"Сколько дней в месяц Вы пили домашнее вино?","How many days a month you drank homemade wine?"
"815","rm84.9a",579,"Вы пили коньяк; виски; ликеры в течение последних 30 дней?","You drank brandy; whiskey; liqueurs in the last 30 days?"
"816","rm84.9b",580,"Сколько грамм коньяка; виски; ликера Вы обычно выпивали за день?","How many grams of cognac; whiskey; liquor do you usually drink per day?"
"817","rm84.9d",581,"Сколько дней в месяц Вы пили коньяк; виски; ликеры?","How many days a month you drank cognac; whiskey; liqueurs?"
"818","rm96",832,"Скажите; пожалуйста; в последние 7 дней (у него/у нее) был кашель?","tell me; please; the last 7 days (he / she) was cough?"
"819","rm97",833,"Скажите; пожалуйста; в последние 7 дней (у него/у нее) был насморк; может быть; текло из носа или нос был забит?","tell me; please; the last 7 days (he / she) was rhinitis; may be; flowed from the nose or nose was clogged?"
"820","rm98",834,"Скажите; пожалуйста; в последние 7 дней (у него/у нее) болели уши?","tell me; please; in the last 7 days (he / she) hurt ears?"
"821","rm99",835,"В последние 7 дней (у него/у нее) болело горло?","In the last 7 days (he / she) had a sore throat?"
"822","r_marst",48,"СЕМЕЙНОЕ ПОЛОЖЕНИЕ - 22 ВОЛНА","MARITAL STATUS - 22 WAVE"
"823","rn1.1",638,"Присутствуют ли на данный момент в комнате кроме респондента дети до 10 лет?","Are there at this point in the room except the respondent children up to 10 years?"
"824","rn1.2",639,"Присутствуют ли на данный момент в комнате кроме респондента дети старше 10 лет?","Are there at this point in the room except the respondent children over 10 years?"
"825","rn1.3",640,"Присутствуют ли на данный момент в комнате кроме респондента родители?","Are there at this point in the room except the respondent's parents?"
"826","rn1.4",641,"Присутствует ли на данный момент в комнате кроме респондента муж или партнер?","Is there currently in the room except for the respondent husband or partner?"
"827","rn1.5",642,"Присутствуют ли на данный момент в комнате кроме респондента другие мужчины?","Are there at this point in the room except for the respondent other men?"
"828","rn1.6",643,"Присутствуют ли на данный момент в комнате кроме респондента другие женщины?","Are there at this point in the room except for the respondent other women?"
"829","rn2",644,"У Вас были когда-либо менструации?","You ever had menstruation?"
"830","rn30",648,"Вы делали аборт в течение последних 12 месяцев?","You had an abortion in the past 12 months?"
"831","rn31",649,"Сколько абортов у Вас было в течение последних 12 месяцев?","How many abortions have you had in the last 12 months?"
"832","rn31.1",650,"Когда мы говорили об абортах; Вы учитывали мини-аборты?","When we talked about abortion; You take into account the mini-abortion?"
"833","rn31.2",651,"В течение последних 12 месяцев Вы делали мини-аборт?","During the past 12 months, have you done a mini-abortion?"
"834","rn31.3",652,"Сколько мини-абортов Вы делали в течение последних 12 месяцев?","How many mini-abortions were you doing in the past 12 months?"
"835","rn4",645,"Вы были когда-нибудь беременны; даже если эта беременность длилась всего несколько недель?","You ever been pregnant; even if the pregnancy lasted only a few weeks?"
"836","rn6",646,"Вы рожали в течение последних 12 месяцев?","You gave birth in the past 12 months?"
"837","rn60",653,"Вы сейчас беременны?","Are you pregnant now?"
"838","rn6.1",647,"Сколько детей у Вас родилось в течение последних 12 месяцев?","How many children you were born in the last 12 months?"
"839","rn61m",655,"Когда Вы ожидаете ребенка? МЕСЯЦ *В 2013 году ответ на вопрос разбит на две числовые переменные – МЕСЯЦ и ГОД. В 2011 году и ранее данный вопрос был открытым; поэтому месяц и год фиксировались в текстовой строке n61.","When you are expecting a baby? MONTH * In 2013, the answer to the question is divided into two numerical variables - month and year. In 2011, before the issue was open; therefore, month and year were recorded in a text string n61."
